build,workload,variant,processes,median_ns_per_element,ci95_low,ci95_high,min,max,samples_with_gc
c-O2,count,control,10,3.4519,3.3602,3.5962,3.3504,3.6803,0
c-O2,dot,control,10,1.5043,1.4519,1.5485,1.4284,1.5947,0
c-O2,hash_chain,control,10,1.8990,1.8505,1.9631,1.8143,2.1236,0
c-O2,hash_chain,control_bis,10,1.9308,1.8973,1.9653,1.8680,2.0189,0
c-O2,hash_chain,control_double,10,3.8085,3.7723,3.8359,3.7514,4.0061,0
c-O3,count,control,10,3.5043,3.4549,3.5834,3.3826,3.7001,0
c-O3,dot,control,10,1.6854,1.6469,1.7379,1.6059,1.7500,0
c-O3,hash_chain,control,10,1.8958,1.8668,1.9569,1.8244,1.9607,0
c-O3,hash_chain,control_bis,10,1.9173,1.8898,1.9522,1.8683,1.9704,0
c-O3,hash_chain,control_double,10,3.8396,3.8129,3.8981,3.7753,4.0543,0
rust,count,control,10,3.5890,3.5458,3.6498,3.4303,3.7407,0
rust,count,idiomatic,10,16.7804,16.6095,16.8366,16.3837,17.5763,0
rust,count,idiomatic_bis,10,16.6953,16.6521,16.7492,16.4771,17.0450,0
rust,dot,control,10,1.4825,1.4373,1.4930,1.3882,1.5915,0
rust,dot,idiomatic,10,1.4484,1.4305,1.4883,1.4113,1.5725,0
rust,hash_chain,control,10,1.8445,1.8359,1.8604,1.8017,1.8857,0
rust,hash_chain,control_bis,10,1.8262,1.7927,1.8483,1.7812,1.9305,0
rust,hash_chain,control_double,10,3.7086,3.6232,3.7345,3.5568,3.7610,0
rust,hash_chain,idiomatic,10,1.8687,1.8052,1.8863,1.7858,1.9199,0
go,count,control,10,3.5764,3.5162,3.6622,3.4912,3.7001,0
go,count,idiomatic,10,19.8965,19.7992,20.0061,19.7103,20.3227,0
go,count,idiomatic_bis,10,20.0200,19.8200,20.0957,19.6638,20.3062,0
go,dot,control,10,1.5078,1.4861,1.5264,1.4709,1.5579,0
go,dot,idiomatic,10,1.4934,1.4629,1.5793,1.4405,1.6603,0
go,hash_chain,control,10,1.9097,1.8687,1.9357,1.8277,1.9614,0
go,hash_chain,control_bis,10,1.8623,1.8399,1.9183,1.8196,1.9647,0
go,hash_chain,control_double,10,3.7949,3.7247,3.8995,3.6505,4.0131,0
go,hash_chain,idiomatic,10,1.8825,1.8638,1.8933,1.8565,1.9404,0
python,count,control,10,270.1393,266.7677,272.6659,263.5126,278.7585,0
python,count,idiomatic,10,104.1453,103.0386,109.0246,98.7761,110.9028,0
python,count,idiomatic_bis,10,104.5595,101.1818,108.6358,100.0875,111.9667,0
python,count,numpy,10,2.7871,2.7407,2.8491,2.7147,2.9283,0
python,dot,control,10,44.8585,44.5860,44.8794,44.2794,45.3181,0
python,dot,idiomatic,10,12.1624,11.9693,12.3391,11.7814,12.4253,0
python,dot,numpy,10,0.9911,0.9592,1.1526,0.9071,1.2685,0
python,hash_chain,control,10,131.4294,131.2120,131.8313,130.9390,132.8485,0
python,hash_chain,control_bis,10,131.5577,131.0998,132.0908,130.2720,132.7453,0
python,hash_chain,control_double,10,263.1121,262.6396,264.0289,262.3761,265.0139,0
python,hash_chain,idiomatic,10,116.1614,115.8914,116.5186,115.7382,117.3638,0
