build,workload,variant,first_over_steady_median,min,max
c-O2,count,control,1.041,0.984,1.080
c-O2,dot,control,1.021,0.958,1.398
c-O2,hash_chain,control,0.984,0.863,1.151
c-O2,hash_chain,control_bis,0.931,0.880,1.123
c-O2,hash_chain,control_double,0.995,0.874,1.194
c-O3,count,control,1.048,0.985,1.221
c-O3,dot,control,1.014,0.930,1.266
c-O3,hash_chain,control,0.952,0.921,1.200
c-O3,hash_chain,control_bis,0.947,0.888,1.163
c-O3,hash_chain,control_double,0.996,0.856,1.250
rust,count,control,1.005,0.952,1.132
rust,count,idiomatic,1.009,0.994,1.026
rust,count,idiomatic_bis,1.004,0.994,1.039
rust,dot,control,1.018,0.930,1.214
rust,dot,idiomatic,1.042,0.940,1.074
rust,hash_chain,control,0.983,0.930,1.298
rust,hash_chain,control_bis,1.020,0.936,1.095
rust,hash_chain,control_double,0.975,0.942,1.111
rust,hash_chain,idiomatic,1.001,0.919,1.160
go,count,control,0.995,0.967,1.044
go,count,idiomatic,1.015,0.992,1.033
go,count,idiomatic_bis,1.014,0.993,1.040
go,dot,control,0.995,0.906,1.076
go,dot,idiomatic,1.034,0.978,1.267
go,hash_chain,control,0.996,0.884,1.215
go,hash_chain,control_bis,0.953,0.940,1.086
go,hash_chain,control_double,0.990,0.939,1.076
go,hash_chain,idiomatic,1.044,0.970,1.152
python,count,control,1.027,0.969,1.307
python,count,idiomatic,1.070,0.956,1.512
python,count,idiomatic_bis,1.040,0.921,1.353
python,count,numpy,1.023,0.977,1.135
python,dot,control,0.999,0.979,1.024
python,dot,idiomatic,0.998,0.953,1.064
python,dot,numpy,0.944,0.691,1.291
python,hash_chain,control,1.038,1.007,1.064
python,hash_chain,control_bis,1.045,1.020,1.065
python,hash_chain,control_double,1.048,1.039,1.061
python,hash_chain,idiomatic,1.057,1.023,1.085
