workload,build,variant,ratio_to_c_O2_control,ci95_low,ci95_high
hash_chain,c-O2,control,1.000,1.000,1.000
hash_chain,c-O3,control,0.945,0.945,0.945
hash_chain,rust,control,0.948,0.948,0.948
hash_chain,rust,idiomatic,0.931,0.931,0.931
hash_chain,go,control,0.955,0.955,0.955
hash_chain,go,idiomatic,0.946,0.946,0.946
hash_chain,python,control,67.844,67.844,67.844
hash_chain,python,idiomatic,60.625,60.625,60.625
dot,c-O2,control,1.000,1.000,1.000
dot,c-O3,control,0.947,0.947,0.947
dot,rust,control,0.813,0.813,0.813
dot,rust,idiomatic,0.804,0.804,0.804
dot,go,control,0.797,0.797,0.797
dot,go,idiomatic,0.776,0.776,0.776
dot,python,control,23.823,23.823,23.823
dot,python,idiomatic,6.581,6.581,6.581
dot,python,numpy,0.504,0.504,0.504
count,c-O2,control,1.000,1.000,1.000
count,c-O3,control,0.977,0.977,0.977
count,rust,control,0.946,0.946,0.946
count,rust,idiomatic,4.255,4.255,4.255
count,go,control,0.942,0.942,0.942
count,go,idiomatic,5.110,5.110,5.110
count,python,control,79.985,79.985,79.985
count,python,idiomatic,33.654,33.654,33.654
count,python,numpy,0.712,0.712,0.712
