build,workload,variant,processes,median_ns_per_element,ci95_low,ci95_high,min,max,samples_with_gc
c-O2,count,control,1,3.8715,3.8715,3.8715,3.8715,3.8715,0
c-O2,dot,control,1,1.8402,1.8402,1.8402,1.8402,1.8402,0
c-O2,hash_chain,control,1,1.9452,1.9452,1.9452,1.9452,1.9452,0
c-O2,hash_chain,control_bis,1,1.7935,1.7935,1.7935,1.7935,1.7935,0
c-O2,hash_chain,control_double,1,3.9609,3.9609,3.9609,3.9609,3.9609,0
c-O3,count,control,1,3.7814,3.7814,3.7814,3.7814,3.7814,0
c-O3,dot,control,1,1.7420,1.7420,1.7420,1.7420,1.7420,0
c-O3,hash_chain,control,1,1.8390,1.8390,1.8390,1.8390,1.8390,0
c-O3,hash_chain,control_bis,1,2.0439,2.0439,2.0439,2.0439,2.0439,0
c-O3,hash_chain,control_double,1,3.6827,3.6827,3.6827,3.6827,3.6827,0
rust,count,control,1,3.6624,3.6624,3.6624,3.6624,3.6624,0
rust,count,idiomatic,1,16.4719,16.4719,16.4719,16.4719,16.4719,0
rust,count,idiomatic_bis,1,16.6231,16.6231,16.6231,16.6231,16.6231,0
rust,dot,control,1,1.4960,1.4960,1.4960,1.4960,1.4960,0
rust,dot,idiomatic,1,1.4790,1.4790,1.4790,1.4790,1.4790,0
rust,hash_chain,control,1,1.8449,1.8449,1.8449,1.8449,1.8449,0
rust,hash_chain,control_bis,1,1.7977,1.7977,1.7977,1.7977,1.7977,0
rust,hash_chain,control_double,1,3.6771,3.6771,3.6771,3.6771,3.6771,0
rust,hash_chain,idiomatic,1,1.8112,1.8112,1.8112,1.8112,1.8112,0
go,count,control,1,3.6477,3.6477,3.6477,3.6477,3.6477,0
go,count,idiomatic,1,19.7829,19.7829,19.7829,19.7829,19.7829,0
go,count,idiomatic_bis,1,19.8071,19.8071,19.8071,19.8071,19.8071,0
go,dot,control,1,1.4676,1.4676,1.4676,1.4676,1.4676,0
go,dot,idiomatic,1,1.4286,1.4286,1.4286,1.4286,1.4286,0
go,hash_chain,control,1,1.8569,1.8569,1.8569,1.8569,1.8569,0
go,hash_chain,control_bis,1,1.8131,1.8131,1.8131,1.8131,1.8131,0
go,hash_chain,control_double,1,3.7636,3.7636,3.7636,3.7636,3.7636,0
go,hash_chain,idiomatic,1,1.8396,1.8396,1.8396,1.8396,1.8396,0
python,count,control,1,309.6617,309.6617,309.6617,309.6617,309.6617,0
python,count,idiomatic,1,130.2915,130.2915,130.2915,130.2915,130.2915,0
python,count,idiomatic_bis,1,123.3068,123.3068,123.3068,123.3068,123.3068,0
python,count,numpy,1,2.7559,2.7559,2.7559,2.7559,2.7559,0
python,dot,control,1,43.8393,43.8393,43.8393,43.8393,43.8393,0
python,dot,idiomatic,1,12.1101,12.1101,12.1101,12.1101,12.1101,0
python,dot,numpy,1,0.9274,0.9274,0.9274,0.9274,0.9274,0
python,hash_chain,control,1,131.9703,131.9703,131.9703,131.9703,131.9703,0
python,hash_chain,control_bis,1,131.5044,131.5044,131.5044,131.5044,131.5044,0
python,hash_chain,control_double,1,265.0049,265.0049,265.0049,265.0049,265.0049,0
python,hash_chain,idiomatic,1,117.9274,117.9274,117.9274,117.9274,117.9274,0
