build,workload,variant,first_over_steady_median,min,max
c-O2,count,control,0.961,0.961,0.961
c-O2,dot,control,0.857,0.857,0.857
c-O2,hash_chain,control,0.932,0.932,0.932
c-O2,hash_chain,control_bis,1.013,1.013,1.013
c-O2,hash_chain,control_double,0.915,0.915,0.915
c-O3,count,control,1.096,1.096,1.096
c-O3,dot,control,0.975,0.975,0.975
c-O3,hash_chain,control,1.030,1.030,1.030
c-O3,hash_chain,control_bis,0.850,0.850,0.850
c-O3,hash_chain,control_double,1.270,1.270,1.270
rust,count,control,0.915,0.915,0.915
rust,count,idiomatic,1.015,1.015,1.015
rust,count,idiomatic_bis,0.992,0.992,0.992
rust,dot,control,1.061,1.061,1.061
rust,dot,idiomatic,0.988,0.988,0.988
rust,hash_chain,control,0.884,0.884,0.884
rust,hash_chain,control_bis,0.972,0.972,0.972
rust,hash_chain,control_double,0.938,0.938,0.938
rust,hash_chain,idiomatic,1.031,1.031,1.031
go,count,control,1.109,1.109,1.109
go,count,idiomatic,1.001,1.001,1.001
go,count,idiomatic_bis,1.015,1.015,1.015
go,dot,control,1.044,1.044,1.044
go,dot,idiomatic,1.023,1.023,1.023
go,hash_chain,control,0.958,0.958,0.958
go,hash_chain,control_bis,1.069,1.069,1.069
go,hash_chain,control_double,1.087,1.087,1.087
go,hash_chain,idiomatic,1.099,1.099,1.099
python,count,control,1.018,1.018,1.018
python,count,idiomatic,1.022,1.022,1.022
python,count,idiomatic_bis,1.057,1.057,1.057
python,count,numpy,1.068,1.068,1.068
python,dot,control,1.071,1.071,1.071
python,dot,idiomatic,1.069,1.069,1.069
python,dot,numpy,1.457,1.457,1.457
python,hash_chain,control,0.994,0.994,0.994
python,hash_chain,control_bis,1.067,1.067,1.067
python,hash_chain,control_double,1.037,1.037,1.037
python,hash_chain,idiomatic,1.051,1.051,1.051
