import time: self [us] | cumulative | imported package
import time:       213 |        213 |   _io
import time:        39 |         39 |   marshal
import time:       303 |        303 |   posix
import time:       645 |       1199 | _frozen_importlib_external
import time:        98 |         98 |   time
import time:       250 |        348 | zipimport
import time:        55 |         55 |     _codecs
import time:       588 |        643 |   codecs
import time:       481 |        481 |   encodings.aliases
import time:       587 |       1709 | encodings
import time:       186 |        186 | encodings.utf_8
import time:        97 |         97 | _signal
import time:        34 |         34 |       _abc
import time:       170 |        204 |     abc
import time:        41 |         41 |       _stat
import time:        98 |        139 |     stat
import time:       930 |        930 |     _collections_abc
import time:        66 |         66 |       errno
import time:       106 |        106 |       genericpath
import time:       156 |        327 |     posixpath
import time:       532 |       2130 |   os
import time:       112 |        112 |   _sitebuiltins
import time:       211 |        211 |   encodings.utf_8_sig
import time:       932 |        932 |   _distutils_hack
import time:        64 |         64 |     _types
import time:       270 |        334 |   types
import time:       142 |        142 |     importlib
import time:       176 |        176 |     importlib._abc
import time:       171 |        488 |   importlib.util
import time:        65 |         65 |   importlib.machinery
import time:       178 |        178 |     apport_python_hook
import time:       121 |        298 |   sitecustomize
import time:        66 |         66 |   usercustomize
import time:      1611 |       6242 | site
