import time: self [us] | cumulative | imported package
import time:       201 |        201 |   _io
import time:        38 |         38 |   marshal
import time:       316 |        316 |   posix
import time:       628 |       1182 | _frozen_importlib_external
import time:       100 |        100 |   time
import time:       255 |        354 | zipimport
import time:        53 |         53 |     _codecs
import time:       561 |        614 |   codecs
import time:       416 |        416 |   encodings.aliases
import time:       552 |       1582 | encodings
import time:       190 |        190 | encodings.utf_8
import time:        98 |         98 | _signal
import time:        36 |         36 |       _abc
import time:       176 |        212 |     abc
import time:        48 |         48 |       _stat
import time:       100 |        148 |     stat
import time:       921 |        921 |     _collections_abc
import time:        65 |         65 |       errno
import time:       102 |        102 |       genericpath
import time:       165 |        331 |     posixpath
import time:       565 |       2173 |   os
import time:       111 |        111 |   _sitebuiltins
import time:       219 |        219 |   encodings.utf_8_sig
import time:       885 |        885 |   _distutils_hack
import time:        53 |         53 |     _types
import time:       279 |        332 |   types
import time:       149 |        149 |     importlib
import time:       182 |        182 |     importlib._abc
import time:       196 |        525 |   importlib.util
import time:        71 |         71 |   importlib.machinery
import time:       167 |        167 |     apport_python_hook
import time:       117 |        284 |   sitecustomize
import time:        71 |         71 |   usercustomize
import time:      1536 |       6204 | site
import time:        48 |         48 |       _contextvars
import time:       394 |        442 |     _py_warnings
import time:       166 |        607 |   warnings
import time:       180 |        180 |   numpy.version
import time:       109 |        109 |   numpy._expired_attrs_2_0
import time:      1441 |       1441 |     enum
import time:       131 |        131 |           itertools
import time:       133 |        133 |           keyword
import time:        78 |         78 |             _operator
import time:       292 |        370 |           operator
import time:       201 |        201 |           reprlib
import time:        80 |         80 |           _collections
import time:       855 |       1766 |         collections
import time:        72 |         72 |         _functools
import time:       628 |       2465 |       functools
import time:       187 |        187 |       numpy._utils._convertions
import time:       234 |       2885 |     numpy._utils
import time:       301 |       4627 |   numpy._globals
import time:        39 |         39 |     numpy._distributor_init_local
import time:       158 |        197 |   numpy._distributor_init
import time:       112 |        112 |               _datetime
import time:       401 |        513 |             datetime
import time:       108 |        108 |             math
import time:       372 |        372 |             numpy.exceptions
import time:       412 |        412 |             numpy._core._exceptions
import time:       178 |        178 |               contextvars
import time:       160 |        337 |             numpy._core.printoptions
import time:       220 |        220 |             numpy.dtypes
import time:     10675 |      12633 |           numpy._core._multiarray_umath
import time:       150 |        150 |             numpy._utils._inspect
import time:       446 |        596 |           numpy._core.overrides
import time:       608 |      13836 |         numpy._core.multiarray
import time:       215 |        215 |         numpy._core.umath
import time:       403 |        403 |           numbers
import time:       202 |        202 |           numpy._core._dtype
import time:       137 |        137 |           numpy._core._string_helpers
import time:       949 |        949 |           numpy._core._type_aliases
import time:       390 |       2079 |         numpy._core.numerictypes
import time:       209 |        209 |           numpy._core._ufunc_config
import time:       166 |        166 |                 copyreg
import time:       101 |        101 |                   _struct
import time:       113 |        213 |                 struct
import time:       268 |        268 |                 io
import time:       273 |        273 |                 _compat_pickle
import time:       122 |        122 |                 _pickle
import time:       813 |       1852 |               pickle
import time:       668 |        668 |               contextlib
import time:       273 |       2792 |             numpy._core._methods
import time:       938 |       3729 |           numpy._core.fromnumeric
import time:       248 |       4185 |         numpy._core._machar
import time:       340 |        340 |             numpy._core.shape_base
import time:       143 |        143 |             numpy._core._asarray
import time:       620 |        620 |             numpy._core.arrayprint
import time:       817 |       1919 |           numpy._core.numeric
import time:       333 |       2251 |         numpy._core.einsumfunc
import time:       259 |        259 |         numpy._core.function_base
import time:       335 |        335 |         numpy._core.getlimits
import time:       203 |        203 |         numpy._core.memmap
import time:       358 |        358 |         numpy._core.records
import time:      1073 |       1073 |         numpy._core._add_newdocs
import time:       422 |        422 |         numpy._core._add_newdocs_scalars
import time:       144 |        144 |         numpy._core._dtype_ctypes
import time:      1063 |       1063 |             _ast
import time:       441 |       1504 |           ast
import time:        85 |         85 |               _sre
import time:       291 |        291 |                 re._constants
import time:       446 |        737 |               re._parser
import time:       132 |        132 |               re._casefix
import time:       417 |       1369 |             re._compiler
import time:       681 |       2049 |           re
import time:       201 |        201 |                 _weakrefset
import time:       697 |        898 |               threading
import time:       444 |       1341 |             sysconfig
import time:       803 |        803 |             _ctypes
import time:       331 |        331 |             ctypes._endian
import time:       968 |       3442 |           ctypes
import time:       847 |       7841 |         numpy._core._internal
import time:       197 |        197 |         numpy._pytesttester
import time:       741 |      34133 |       numpy._core
import time:        28 |      34160 |     numpy._core._multiarray_umath
import time:       377 |      34537 |   numpy.__config__
import time:        58 |         58 |                   _typing
import time:      2506 |       2564 |                 typing
import time:       250 |        250 |                     numpy._typing._nbit_base
import time:       238 |        238 |                     numpy._typing._nested_sequence
import time:       130 |        130 |                     numpy._typing._shape
import time:      1460 |       2076 |                   numpy._typing._array_like
import time:      1583 |       1583 |                   numpy._typing._char_codes
import time:       696 |        696 |                     annotationlib
import time:      1269 |       1965 |                   numpy._typing._dtype_like
import time:       170 |        170 |                   numpy._typing._nbit
import time:       141 |        141 |                   numpy._typing._scalars
import time:       104 |        104 |                   numpy._typing._ufunc
import time:       386 |       6422 |                 numpy._typing
import time:       279 |        279 |                   numpy.lib._stride_tricks_impl
import time:       367 |        645 |                 numpy.lib._twodim_base_impl
import time:       110 |        110 |                   numpy.lib._array_utils_impl
import time:       135 |        245 |                 numpy.lib.array_utils
import time:       968 |        968 |                 numpy.linalg._umath_linalg
import time:      1934 |      12775 |               numpy.linalg._linalg
import time:       145 |        145 |               numpy.linalg.linalg
import time:       197 |      13116 |             numpy.linalg
import time:       353 |      13468 |           numpy.matrixlib.defmatrix
import time:       134 |      13602 |         numpy.matrixlib
import time:      2182 |       2182 |           numpy.lib._histograms_impl
import time:      1318 |       3499 |         numpy.lib._function_base_impl
import time:       171 |        171 |         numpy.lib.stride_tricks
import time:       512 |      17783 |       numpy.lib._index_tricks_impl
import time:       356 |      18138 |     numpy.lib._arraypad_impl
import time:      1071 |       1071 |     numpy.lib._arraysetops_impl
import time:       202 |        202 |     numpy.lib._arrayterator_impl
import time:       543 |        543 |     numpy.lib._nanfunctions_impl
import time:       937 |        937 |       weakref
import time:        93 |         93 |               _wmi
import time:       819 |        912 |             platform
import time:       885 |        885 |             textwrap
import time:       278 |       2075 |           numpy.lib._utils_impl
import time:       286 |       2360 |         numpy.lib._format_impl
import time:       136 |       2496 |       numpy.lib.format
import time:       291 |        291 |       numpy.lib._datasource
import time:       403 |        403 |       numpy.lib._iotools
import time:       777 |       4902 |     numpy.lib._npyio_impl
import time:       135 |        135 |         numpy.lib._ufunclike_impl
import time:       307 |        441 |       numpy.lib._type_check_impl
import time:       605 |       1045 |     numpy.lib._polynomial_impl
import time:       425 |        425 |     numpy.lib._shape_base_impl
import time:       156 |        156 |     numpy.lib._version
import time:       107 |        107 |     numpy.lib.introspect
import time:       216 |        216 |     numpy.lib.mixins
import time:        94 |         94 |     numpy.lib.npyio
import time:       295 |        295 |       numpy.lib._scimath_impl
import time:        97 |        392 |     numpy.lib.scimath
import time:       462 |      27748 |   numpy.lib
import time:       169 |        169 |   numpy._array_api_info
import time:      2579 |      70749 | numpy
