run_id,part,mode,cpus,steps,n_log2,live_log2,batch_log2,batches
1,churn,python-gc,11,300,16,20,13,1024
2,churn,go-gogc100,11,300,16,20,13,1024
3,warm,java-xint,11,300,16,20,13,1024
4,warm,c,11,300,16,20,13,1024
5,warm,node,11,300,16,20,13,1024
6,warm,java,11,300,16,20,13,1024
7,warm,java-xint,11,300,16,20,13,1024
8,churn,python-gc,11,300,16,20,13,1024
9,churn,c,11,300,16,20,13,1024
10,warm,node-jitless,11,300,16,20,13,1024
11,warm,python-jit,11,300,16,20,13,1024
12,churn,python-nogc,11,300,16,20,13,1024
13,churn,java-serial,11,300,16,20,13,1024
14,warm,node,11,300,16,20,13,1024
15,warm,java-2cpu,9;11,300,16,20,13,1024
16,churn,python-nogc,11,300,16,20,13,1024
17,churn,go-gogc100,11,300,16,20,13,1024
18,warm,python,11,300,16,20,13,1024
19,churn,go-gogc400,11,300,16,20,13,1024
20,warm,java,11,300,16,20,13,1024
21,churn,java-g1,11,300,16,20,13,1024
22,warm,java-2cpu,9;11,300,16,20,13,1024
23,churn,python-nogc,11,300,16,20,13,1024
24,churn,java-serial,11,300,16,20,13,1024
25,churn,node,11,300,16,20,13,1024
26,churn,go-gogc400,11,300,16,20,13,1024
27,churn,python-gc,11,300,16,20,13,1024
28,churn,go-gogc100,11,300,16,20,13,1024
29,churn,java-serial,11,300,16,20,13,1024
30,warm,java,11,300,16,20,13,1024
31,churn,c,11,300,16,20,13,1024
32,churn,go-gogc400,11,300,16,20,13,1024
33,warm,node,11,300,16,20,13,1024
34,warm,node-jitless,11,300,16,20,13,1024
35,warm,java,11,300,16,20,13,1024
36,churn,python-nogc,11,300,16,20,13,1024
37,warm,python-jit,11,300,16,20,13,1024
38,churn,go-gogc100,11,300,16,20,13,1024
39,warm,node-2cpu,9;11,300,16,20,13,1024
40,churn,python-gc,11,300,16,20,13,1024
41,churn,c,11,300,16,20,13,1024
42,warm,node,11,300,16,20,13,1024
43,warm,python,11,300,16,20,13,1024
44,churn,python-nogc,11,300,16,20,13,1024
45,churn,java-g1,11,300,16,20,13,1024
46,warm,java-xint,11,300,16,20,13,1024
47,churn,java-g1,11,300,16,20,13,1024
48,warm,node,11,300,16,20,13,1024
49,churn,go-gogc100,11,300,16,20,13,1024
50,warm,python,11,300,16,20,13,1024
51,churn,java-g1,11,300,16,20,13,1024
52,warm,node,11,300,16,20,13,1024
53,churn,go-gogc400,11,300,16,20,13,1024
54,warm,c,11,300,16,20,13,1024
55,warm,node-2cpu,9;11,300,16,20,13,1024
56,warm,java-xint,11,300,16,20,13,1024
57,churn,python-gc,11,300,16,20,13,1024
58,churn,go-gogc400,11,300,16,20,13,1024
59,warm,java,11,300,16,20,13,1024
60,warm,java,11,300,16,20,13,1024
61,churn,node,11,300,16,20,13,1024
62,warm,python-jit,11,300,16,20,13,1024
63,warm,java-xint,11,300,16,20,13,1024
64,warm,java-xint,11,300,16,20,13,1024
65,churn,c,11,300,16,20,13,1024
66,warm,python-jit,11,300,16,20,13,1024
67,churn,go-gogc400,11,300,16,20,13,1024
68,warm,node,11,300,16,20,13,1024
69,churn,go-gogc400,11,300,16,20,13,1024
70,warm,node-jitless,11,300,16,20,13,1024
71,warm,c,11,300,16,20,13,1024
72,churn,c,11,300,16,20,13,1024
73,warm,java-2cpu,9;11,300,16,20,13,1024
74,churn,python-gc,11,300,16,20,13,1024
75,churn,c,11,300,16,20,13,1024
76,warm,node-2cpu,9;11,300,16,20,13,1024
77,churn,java-g1,11,300,16,20,13,1024
78,churn,node,11,300,16,20,13,1024
79,warm,c,11,300,16,20,13,1024
80,churn,go-gogc100,11,300,16,20,13,1024
81,churn,java-g1,11,300,16,20,13,1024
82,warm,java,11,300,16,20,13,1024
83,warm,node-jitless,11,300,16,20,13,1024
84,churn,python-nogc,11,300,16,20,13,1024
85,warm,node-jitless,11,300,16,20,13,1024
86,warm,java-2cpu,9;11,300,16,20,13,1024
87,churn,node,11,300,16,20,13,1024
88,warm,node-2cpu,9;11,300,16,20,13,1024
89,churn,go-gogc400,11,300,16,20,13,1024
90,churn,python-nogc,11,300,16,20,13,1024
91,churn,node,11,300,16,20,13,1024
92,churn,java-serial,11,300,16,20,13,1024
93,churn,java-serial,11,300,16,20,13,1024
94,warm,java-2cpu,9;11,300,16,20,13,1024
95,churn,java-serial,11,300,16,20,13,1024
96,churn,node,11,300,16,20,13,1024
97,warm,python,11,300,16,20,13,1024
98,warm,c,11,300,16,20,13,1024
99,warm,node,11,300,16,20,13,1024
100,churn,java-g1,11,300,16,20,13,1024
101,warm,node-jitless,11,300,16,20,13,1024
102,warm,node-2cpu,9;11,300,16,20,13,1024
103,churn,c,11,300,16,20,13,1024
104,churn,java-serial,11,300,16,20,13,1024
105,churn,go-gogc100,11,300,16,20,13,1024
106,churn,python-nogc,11,300,16,20,13,1024
107,churn,c,11,300,16,20,13,1024
108,churn,go-gogc400,11,300,16,20,13,1024
109,warm,java,11,300,16,20,13,1024
110,warm,java-xint,11,300,16,20,13,1024
111,warm,node-jitless,11,300,16,20,13,1024
112,warm,python-jit,11,300,16,20,13,1024
113,warm,python,11,300,16,20,13,1024
114,warm,java-2cpu,9;11,300,16,20,13,1024
115,churn,python-gc,11,300,16,20,13,1024
116,warm,java-2cpu,9;11,300,16,20,13,1024
117,warm,python,11,300,16,20,13,1024
118,warm,python,11,300,16,20,13,1024
119,warm,java-2cpu,9;11,300,16,20,13,1024
120,warm,java-xint,11,300,16,20,13,1024
121,churn,python-nogc,11,300,16,20,13,1024
122,warm,c,11,300,16,20,13,1024
123,warm,python,11,300,16,20,13,1024
124,churn,python-gc,11,300,16,20,13,1024
125,churn,go-gogc100,11,300,16,20,13,1024
126,warm,node-2cpu,9;11,300,16,20,13,1024
127,warm,python-jit,11,300,16,20,13,1024
128,churn,go-gogc400,11,300,16,20,13,1024
