repetition,position,label,elapsed_ns,user_us,system_us,max_rss_kib,status
0,0,node,35581056,23631,11815,45136,0
0,1,java,57289942,40029,16011,37200,0
0,2,c-static,578821,0,524,1912,0
0,3,python-no-site,10134093,9030,1003,8516,0
0,4,c-dynamic,759994,0,708,1912,0
0,5,python-numpy,105235506,86387,9929,28972,0
0,6,java-no-cds,72129428,57912,12980,30724,0
0,7,python-isolated,10317369,9170,1018,8484,0
0,8,rust,967774,0,908,2224,0
0,9,node-jitless,30464508,20586,9803,41396,0
0,10,python,16783568,11748,4895,10116,0
0,11,go,1246826,0,1182,1912,0
1,0,python-no-site,9234624,8162,1020,8688,0
1,1,c-dynamic,649950,603,0,1912,0
1,2,java-no-cds,74475825,62250,11044,30744,0
1,3,python,21316801,13459,7691,10116,0
1,4,c-static,661516,587,0,1912,0
1,5,rust,898925,0,854,2236,0
1,6,go,1136280,0,1085,1912,0
1,7,java,61903311,42807,17919,36940,0
1,8,node-jitless,42839886,30763,11908,41400,0
1,9,node,41393117,29006,12002,44036,0
1,10,python-numpy,106013348,85653,20153,28852,0
1,11,python-isolated,9280650,8164,1020,8488,0
2,0,c-dynamic,667320,618,0,1912,0
2,1,c-static,455001,405,0,1912,0
2,2,node-jitless,29756609,19774,9887,41400,0
2,3,python,16116269,13016,3003,10056,0
2,4,rust,865029,0,811,2136,0
2,5,java-no-cds,74384134,59177,14042,30792,0
2,6,go,1205565,0,1134,1912,0
2,7,node,28309587,17448,10662,44036,0
2,8,python-no-site,11799086,6326,3163,8588,0
2,9,python-numpy,96408600,77417,18858,29104,0
2,10,java,58380893,39802,17350,37224,0
2,11,python-isolated,10014485,8919,991,8412,0
3,0,node-jitless,29383797,23406,5851,41316,0
3,1,c-static,607272,548,0,1912,0
3,2,c-dynamic,668486,631,0,1912,0
3,3,java,62501524,47985,10996,37256,0
3,4,java-no-cds,80936614,62441,17121,30756,0
3,5,python-no-site,10375501,6516,3723,8656,0
3,6,python,15726475,13574,2088,10008,0
3,7,python-isolated,8453848,6290,2096,8484,0
3,8,rust,798320,0,746,2136,0
3,9,python-numpy,88670437,75506,13087,28992,0
3,10,node,30386613,18554,11718,45176,0
3,11,go,1259651,0,1190,1912,0
4,0,java,60869154,40186,16662,37012,0
4,1,go,1272684,0,1197,1912,0
4,2,c-dynamic,662836,0,622,1912,0
4,3,rust,675832,0,636,2180,0
4,4,python-isolated,13723563,9416,4185,8512,0
4,5,c-static,623020,0,555,1912,0
4,6,python-no-site,9335571,7208,2059,8648,0
4,7,python-numpy,89043713,75934,12988,28944,0
4,8,python,15836016,10804,4911,10040,0
4,9,node,30699545,20389,10194,45160,0
4,10,node-jitless,28955468,20299,6766,41412,0
