import time: self [us] | cumulative | imported package
import time:       216 |        216 |   _io
import time:        39 |         39 |   marshal
import time:       307 |        307 |   posix
import time:       696 |       1256 | _frozen_importlib_external
import time:        99 |         99 |   time
import time:       258 |        356 | zipimport
import time:        60 |         60 |     _codecs
import time:       611 |        670 |   codecs
import time:       415 |        415 |   encodings.aliases
import time:       586 |       1670 | encodings
import time:       191 |        191 | encodings.utf_8
import time:        99 |         99 | _signal
import time:        37 |         37 |       _abc
import time:       188 |        224 |     abc
import time:        43 |         43 |       _stat
import time:       102 |        145 |     stat
import time:      1072 |       1072 |     _collections_abc
import time:        69 |         69 |       errno
import time:        99 |         99 |       genericpath
import time:       156 |        323 |     posixpath
import time:       555 |       2316 |   os
import time:       120 |        120 |   _sitebuiltins
import time:       228 |        228 |   encodings.utf_8_sig
import time:       908 |        908 |   _distutils_hack
import time:        57 |         57 |     _types
import time:       284 |        340 |   types
import time:       157 |        157 |     importlib
import time:       183 |        183 |     importlib._abc
import time:       174 |        513 |   importlib.util
import time:        62 |         62 |   importlib.machinery
import time:       180 |        180 |     apport_python_hook
import time:       122 |        302 |   sitecustomize
import time:        67 |         67 |   usercustomize
import time:      1603 |       6454 | site
