import time: self [us] | cumulative | imported package
import time:       201 |        201 |   _io
import time:        38 |         38 |   marshal
import time:       291 |        291 |   posix
import time:       607 |       1135 | _frozen_importlib_external
import time:        95 |         95 |   time
import time:       244 |        339 | zipimport
import time:        84 |         84 |     _codecs
import time:       590 |        673 |   codecs
import time:       571 |        571 |   encodings.aliases
import time:       578 |       1820 | encodings
import time:       192 |        192 | encodings.utf_8
import time:       105 |        105 | _signal
import time:        37 |         37 |       _abc
import time:       183 |        220 |     abc
import time:        47 |         47 |       _stat
import time:        94 |        140 |     stat
import time:       970 |        970 |     _collections_abc
import time:        75 |         75 |       errno
import time:        99 |         99 |       genericpath
import time:       153 |        326 |     posixpath
import time:       522 |       2176 |   os
import time:       119 |        119 |   _sitebuiltins
import time:       238 |        238 |   encodings.utf_8_sig
import time:       920 |        920 |   _distutils_hack
import time:        57 |         57 |     _types
import time:       288 |        344 |   types
import time:       149 |        149 |     importlib
import time:       185 |        185 |     importlib._abc
import time:       185 |        518 |   importlib.util
import time:        66 |         66 |   importlib.machinery
import time:       171 |        171 |     apport_python_hook
import time:       124 |        295 |   sitecustomize
import time:        68 |         68 |   usercustomize
import time:      1717 |       6457 | site
import time:        47 |         47 |       _contextvars
import time:       395 |        442 |     _py_warnings
import time:       161 |        602 |   warnings
import time:       175 |        175 |   numpy.version
import time:       111 |        111 |   numpy._expired_attrs_2_0
import time:      1498 |       1498 |     enum
import time:       122 |        122 |           itertools
import time:       137 |        137 |           keyword
import time:        75 |         75 |             _operator
import time:       291 |        366 |           operator
import time:       189 |        189 |           reprlib
import time:        78 |         78 |           _collections
import time:       879 |       1769 |         collections
import time:        72 |         72 |         _functools
import time:       664 |       2504 |       functools
import time:       180 |        180 |       numpy._utils._convertions
import time:       203 |       2886 |     numpy._utils
import time:       289 |       4672 |   numpy._globals
import time:        39 |         39 |     numpy._distributor_init_local
import time:       135 |        174 |   numpy._distributor_init
import time:        69 |         69 |               _datetime
import time:       224 |        292 |             datetime
import time:        62 |         62 |             math
import time:       257 |        257 |             numpy.exceptions
import time:       294 |        294 |             numpy._core._exceptions
import time:       124 |        124 |               contextvars
import time:       119 |        242 |             numpy._core.printoptions
import time:       138 |        138 |             numpy.dtypes
import time:      9968 |      11252 |           numpy._core._multiarray_umath
import time:       145 |        145 |             numpy._utils._inspect
import time:       410 |        555 |           numpy._core.overrides
import time:       584 |      12389 |         numpy._core.multiarray
import time:       226 |        226 |         numpy._core.umath
import time:       378 |        378 |           numbers
import time:       200 |        200 |           numpy._core._dtype
import time:       124 |        124 |           numpy._core._string_helpers
import time:       883 |        883 |           numpy._core._type_aliases
import time:       366 |       1949 |         numpy._core.numerictypes
import time:       204 |        204 |           numpy._core._ufunc_config
import time:       175 |        175 |                 copyreg
import time:        93 |         93 |                   _struct
import time:       109 |        201 |                 struct
import time:       259 |        259 |                 io
import time:       256 |        256 |                 _compat_pickle
import time:       119 |        119 |                 _pickle
import time:       793 |       1801 |               pickle
import time:       658 |        658 |               contextlib
import time:       244 |       2701 |             numpy._core._methods
import time:       848 |       3548 |           numpy._core.fromnumeric
import time:       230 |       3981 |         numpy._core._machar
import time:       322 |        322 |             numpy._core.shape_base
import time:       143 |        143 |             numpy._core._asarray
import time:       587 |        587 |             numpy._core.arrayprint
import time:       788 |       1838 |           numpy._core.numeric
import time:       325 |       2162 |         numpy._core.einsumfunc
import time:       240 |        240 |         numpy._core.function_base
import time:       326 |        326 |         numpy._core.getlimits
import time:       189 |        189 |         numpy._core.memmap
import time:       349 |        349 |         numpy._core.records
import time:       997 |        997 |         numpy._core._add_newdocs
import time:       374 |        374 |         numpy._core._add_newdocs_scalars
import time:       130 |        130 |         numpy._core._dtype_ctypes
import time:      1044 |       1044 |             _ast
import time:       435 |       1479 |           ast
import time:        94 |         94 |               _sre
import time:       280 |        280 |                 re._constants
import time:       409 |        688 |               re._parser
import time:       132 |        132 |               re._casefix
import time:       403 |       1316 |             re._compiler
import time:       630 |       1946 |           re
import time:       189 |        189 |                 _weakrefset
import time:       658 |        846 |               threading
import time:       409 |       1254 |             sysconfig
import time:       771 |        771 |             _ctypes
import time:       337 |        337 |             ctypes._endian
import time:       903 |       3264 |           ctypes
import time:       817 |       7504 |         numpy._core._internal
import time:       178 |        178 |         numpy._pytesttester
import time:       710 |      31698 |       numpy._core
import time:        27 |      31724 |     numpy._core._multiarray_umath
import time:       339 |      32063 |   numpy.__config__
import time:        53 |         53 |                   _typing
import time:      2371 |       2424 |                 typing
import time:       246 |        246 |                     numpy._typing._nbit_base
import time:       245 |        245 |                     numpy._typing._nested_sequence
import time:       125 |        125 |                     numpy._typing._shape
import time:      1419 |       2033 |                   numpy._typing._array_like
import time:      1499 |       1499 |                   numpy._typing._char_codes
import time:       591 |        591 |                     annotationlib
import time:      1204 |       1795 |                   numpy._typing._dtype_like
import time:       153 |        153 |                   numpy._typing._nbit
import time:       143 |        143 |                   numpy._typing._scalars
import time:        99 |         99 |                   numpy._typing._ufunc
import time:       330 |       6051 |                 numpy._typing
import time:       254 |        254 |                   numpy.lib._stride_tricks_impl
import time:       308 |        562 |                 numpy.lib._twodim_base_impl
import time:       101 |        101 |                   numpy.lib._array_utils_impl
import time:       136 |        237 |                 numpy.lib.array_utils
import time:       868 |        868 |                 numpy.linalg._umath_linalg
import time:      1794 |      11932 |               numpy.linalg._linalg
import time:       124 |        124 |               numpy.linalg.linalg
import time:       177 |      12232 |             numpy.linalg
import time:       358 |      12589 |           numpy.matrixlib.defmatrix
import time:       147 |      12735 |         numpy.matrixlib
import time:      1760 |       1760 |           numpy.lib._histograms_impl
import time:      1176 |       2936 |         numpy.lib._function_base_impl
import time:       136 |        136 |         numpy.lib.stride_tricks
import time:       454 |      16259 |       numpy.lib._index_tricks_impl
import time:       320 |      16579 |     numpy.lib._arraypad_impl
import time:       947 |        947 |     numpy.lib._arraysetops_impl
import time:       180 |        180 |     numpy.lib._arrayterator_impl
import time:       480 |        480 |     numpy.lib._nanfunctions_impl
import time:       454 |        454 |       weakref
import time:        89 |         89 |               _wmi
import time:       746 |        834 |             platform
import time:       828 |        828 |             textwrap
import time:       257 |       1917 |           numpy.lib._utils_impl
import time:       241 |       2157 |         numpy.lib._format_impl
import time:       123 |       2280 |       numpy.lib.format
import time:       271 |        271 |       numpy.lib._datasource
import time:       370 |        370 |       numpy.lib._iotools
import time:      1049 |       4422 |     numpy.lib._npyio_impl
import time:       129 |        129 |         numpy.lib._ufunclike_impl
import time:       284 |        412 |       numpy.lib._type_check_impl
import time:       530 |        941 |     numpy.lib._polynomial_impl
import time:       391 |        391 |     numpy.lib._shape_base_impl
import time:       145 |        145 |     numpy.lib._version
import time:        97 |         97 |     numpy.lib.introspect
import time:       183 |        183 |     numpy.lib.mixins
import time:        90 |         90 |     numpy.lib.npyio
import time:       274 |        274 |       numpy.lib._scimath_impl
import time:        88 |        361 |     numpy.lib.scimath
import time:       399 |      25211 |   numpy.lib
import time:       146 |        146 |   numpy._array_api_info
import time:      2377 |      65525 | numpy
