run_id,part,mode,cpus,steps,n_log2,live_log2,batch_log2,batches
1,warm,python-jit,11,3,10,10,8,16
2,churn,node,11,3,10,10,8,16
3,warm,java-xint,11,3,10,10,8,16
4,warm,java,11,3,10,10,8,16
5,churn,c,11,3,10,10,8,16
6,churn,java-serial,11,3,10,10,8,16
7,churn,go-gogc100,11,3,10,10,8,16
8,warm,c,11,3,10,10,8,16
9,churn,python-nogc,11,3,10,10,8,16
10,churn,python-gc,11,3,10,10,8,16
11,warm,node-2cpu,9;11,3,10,10,8,16
12,warm,java-2cpu,9;11,3,10,10,8,16
13,churn,java-g1,11,3,10,10,8,16
14,warm,node-jitless,11,3,10,10,8,16
15,warm,node,11,3,10,10,8,16
16,warm,python,11,3,10,10,8,16
17,churn,go-gogc400,11,3,10,10,8,16
