repetition,position,label,elapsed_ns,user_us,system_us,max_rss_kib,status
0,0,node,31422971,22227,9093,44200,0
0,1,java,63835063,40280,19648,37172,0
0,2,c-static,619469,0,556,1912,0
0,3,python-no-site,10264225,7130,3055,8644,0
0,4,c-dynamic,935562,0,826,1912,0
0,5,python-numpy,97947390,82892,14980,29052,0
0,6,java-no-cds,107667302,64705,17918,30672,0
0,7,python-isolated,10070370,8782,1097,8420,0
0,8,rust,941424,0,883,2136,0
0,9,node-jitless,30449973,20243,10121,41428,0
0,10,python,18396944,13173,3040,9984,0
0,11,go,1177240,0,1109,1912,0
1,0,python-no-site,8742960,7597,1085,8644,0
1,1,c-dynamic,638042,0,585,1912,0
1,2,java-no-cds,79632232,60593,17880,30684,0
1,3,python,16747335,13497,3114,10108,0
1,4,c-static,581620,0,519,1912,0
1,5,rust,848753,0,804,2128,0
1,6,go,1051774,0,1000,1912,0
1,7,java,63481687,48237,14069,36984,0
1,8,node-jitless,29811859,19774,9887,41372,0
1,9,node,40554698,25286,13615,45044,0
1,10,python-numpy,94787906,75500,19126,28792,0
1,11,python-isolated,9375196,7213,2061,8480,0
