import time: self [us] | cumulative | imported package
import time:       226 |        226 |   _io
import time:        40 |         40 |   marshal
import time:       298 |        298 |   posix
import time:       655 |       1218 | _frozen_importlib_external
import time:       116 |        116 |   time
import time:       255 |        370 | zipimport
import time:        72 |         72 |     _codecs
import time:       561 |        632 |   codecs
import time:       413 |        413 |   encodings.aliases
import time:       564 |       1609 | encodings
import time:       184 |        184 | encodings.utf_8
import time:       110 |        110 | _signal
import time:        36 |         36 |       _abc
import time:       177 |        212 |     abc
import time:        45 |         45 |       _stat
import time:       159 |        203 |     stat
import time:       971 |        971 |     _collections_abc
import time:        67 |         67 |       errno
import time:        98 |         98 |       genericpath
import time:       156 |        320 |     posixpath
import time:       535 |       2240 |   os
import time:       113 |        113 |   _sitebuiltins
import time:       218 |        218 |   encodings.utf_8_sig
import time:       973 |        973 |   _distutils_hack
import time:        55 |         55 |     _types
import time:       285 |        340 |   types
import time:       144 |        144 |     importlib
import time:       190 |        190 |     importlib._abc
import time:       177 |        511 |   importlib.util
import time:        63 |         63 |   importlib.machinery
import time:       174 |        174 |     apport_python_hook
import time:       123 |        297 |   sitecustomize
import time:        66 |         66 |   usercustomize
import time:      1657 |       6473 | site
