import time: self [us] | cumulative | imported package
import time:       212 |        212 |   _io
import time:        38 |         38 |   marshal
import time:       275 |        275 |   posix
import time:       615 |       1137 | _frozen_importlib_external
import time:        95 |         95 |   time
import time:       271 |        366 | zipimport
import time:        67 |         67 |     _codecs
import time:       553 |        619 |   codecs
import time:       400 |        400 |   encodings.aliases
import time:       516 |       1534 | encodings
import time:       193 |        193 | encodings.utf_8
import time:        99 |         99 | _signal
import time:        34 |         34 |       _abc
import time:       171 |        205 |     abc
import time:        54 |         54 |       _stat
import time:        96 |        149 |     stat
import time:       897 |        897 |     _collections_abc
import time:        65 |         65 |       errno
import time:        96 |         96 |       genericpath
import time:       158 |        317 |     posixpath
import time:       517 |       2082 |   os
import time:       109 |        109 |   _sitebuiltins
import time:       221 |        221 |   encodings.utf_8_sig
import time:       910 |        910 |   _distutils_hack
import time:        53 |         53 |     _types
import time:       274 |        327 |   types
import time:       135 |        135 |     importlib
import time:       173 |        173 |     importlib._abc
import time:       168 |        474 |   importlib.util
import time:        61 |         61 |   importlib.machinery
import time:       167 |        167 |     apport_python_hook
import time:       127 |        293 |   sitecustomize
import time:        68 |         68 |   usercustomize
import time:      1514 |       6055 | site
import time:        47 |         47 |       _contextvars
import time:       394 |        440 |     _py_warnings
import time:       150 |        589 |   warnings
import time:       169 |        169 |   numpy.version
import time:       114 |        114 |   numpy._expired_attrs_2_0
import time:      1413 |       1413 |     enum
import time:       140 |        140 |           itertools
import time:       188 |        188 |           keyword
import time:        79 |         79 |             _operator
import time:       317 |        396 |           operator
import time:       204 |        204 |           reprlib
import time:        79 |         79 |           _collections
import time:       882 |       1887 |         collections
import time:        74 |         74 |         _functools
import time:       639 |       2599 |       functools
import time:       213 |        213 |       numpy._utils._convertions
import time:       200 |       3011 |     numpy._utils
import time:       271 |       4693 |   numpy._globals
import time:        39 |         39 |     numpy._distributor_init_local
import time:       142 |        181 |   numpy._distributor_init
import time:        89 |         89 |               _datetime
import time:       242 |        330 |             datetime
import time:        62 |         62 |             math
import time:       271 |        271 |             numpy.exceptions
import time:       302 |        302 |             numpy._core._exceptions
import time:       119 |        119 |               contextvars
import time:       147 |        265 |             numpy._core.printoptions
import time:       161 |        161 |             numpy.dtypes
import time:      9398 |      10786 |           numpy._core._multiarray_umath
import time:       142 |        142 |             numpy._utils._inspect
import time:       406 |        548 |           numpy._core.overrides
import time:       601 |      11933 |         numpy._core.multiarray
import time:       209 |        209 |         numpy._core.umath
import time:       372 |        372 |           numbers
import time:       196 |        196 |           numpy._core._dtype
import time:       125 |        125 |           numpy._core._string_helpers
import time:       791 |        791 |           numpy._core._type_aliases
import time:       336 |       1817 |         numpy._core.numerictypes
import time:       198 |        198 |           numpy._core._ufunc_config
import time:       155 |        155 |                 copyreg
import time:       100 |        100 |                   _struct
import time:       113 |        213 |                 struct
import time:       247 |        247 |                 io
import time:       252 |        252 |                 _compat_pickle
import time:       120 |        120 |                 _pickle
import time:       751 |       1736 |               pickle
import time:       649 |        649 |               contextlib
import time:       243 |       2627 |             numpy._core._methods
import time:       838 |       3464 |           numpy._core.fromnumeric
import time:       218 |       3879 |         numpy._core._machar
import time:       322 |        322 |             numpy._core.shape_base
import time:       141 |        141 |             numpy._core._asarray
import time:       592 |        592 |             numpy._core.arrayprint
import time:       754 |       1808 |           numpy._core.numeric
import time:       302 |       2110 |         numpy._core.einsumfunc
import time:       235 |        235 |         numpy._core.function_base
import time:       313 |        313 |         numpy._core.getlimits
import time:       184 |        184 |         numpy._core.memmap
import time:       333 |        333 |         numpy._core.records
import time:       975 |        975 |         numpy._core._add_newdocs
