run_id,part,mode,cpus,steps,n_log2,live_log2,batch_log2,batches
1,warm,python-jit,11,60,16,20,13,256
2,churn,node,11,60,16,20,13,256
3,warm,java-xint,11,60,16,20,13,256
4,warm,java,11,60,16,20,13,256
5,churn,c,11,60,16,20,13,256
6,churn,java-serial,11,60,16,20,13,256
7,churn,go-gogc100,11,60,16,20,13,256
8,warm,c,11,60,16,20,13,256
9,churn,python-nogc,11,60,16,20,13,256
10,churn,python-gc,11,60,16,20,13,256
11,warm,node-2cpu,9;11,60,16,20,13,256
12,warm,java-2cpu,9;11,60,16,20,13,256
13,churn,java-g1,11,60,16,20,13,256
14,warm,node-jitless,11,60,16,20,13,256
15,warm,node,11,60,16,20,13,256
16,warm,python,11,60,16,20,13,256
17,churn,go-gogc400,11,60,16,20,13,256
