repetition,position,label,elapsed_ns,user_us,system_us,max_rss_kib,status
0,0,node,32285067,20125,12075,44176,0
0,1,java,58278782,35573,19311,37216,0
0,2,c-static,594744,0,537,1784,0
0,3,python-no-site,9631839,6356,3178,8556,0
0,4,c-dynamic,693942,637,0,1784,0
0,5,python-numpy,88638286,73592,14917,28820,0
0,6,java-no-cds,73047347,59851,11970,30628,0
0,7,python-isolated,9631164,5713,3808,8472,0
0,8,rust,925205,872,0,2212,0
0,9,node-jitless,35420413,25234,10093,41408,0
0,10,python,15815603,11793,3931,10052,0
0,11,go,1124520,0,1064,1784,0
1,0,python-no-site,8324210,7243,1034,8688,0
1,1,c-dynamic,580860,0,538,1784,0
1,2,java-no-cds,71852076,59720,10948,30548,0
1,3,python,17288237,13098,4030,10116,0
1,4,c-static,596153,0,524,1784,0
1,5,rust,861595,818,0,2312,0
1,6,go,1123773,0,1065,1784,0
1,7,java,56497352,40238,15089,37232,0
1,8,node-jitless,33174763,22006,11003,41412,0
1,9,node,30896768,23814,6945,44192,0
1,10,python-numpy,93082009,73590,16905,28840,0
1,11,python-isolated,9209337,7084,2024,8488,0
2,0,c-dynamic,715674,0,660,1784,0
2,1,c-static,459943,0,417,1784,0
2,2,node-jitless,33338013,21163,12093,41324,0
2,3,python,16079927,13987,1998,10100,0
2,4,rust,907405,0,853,2140,0
2,5,java-no-cds,71364627,59005,11000,30724,0
2,6,go,1262984,0,1189,1784,0
2,7,node,31049277,20951,9976,45132,0
2,8,python-no-site,11503938,8302,1037,8648,0
2,9,python-numpy,88110027,73923,13985,28928,0
2,10,java,57971980,34843,21901,37220,0
2,11,python-isolated,9633972,7620,1905,8460,0
3,0,node-jitless,31674578,21356,10169,41252,0
3,1,c-static,595492,535,0,1784,0
3,2,c-dynamic,734209,0,693,1784,0
3,3,java,61863669,39334,18683,37128,0
3,4,java-no-cds,75514709,63267,11046,30628,0
3,5,python-no-site,9933264,7883,1970,8660,0
3,6,python,15849117,11804,3934,10000,0
3,7,python-isolated,8460350,8398,0,8372,0
3,8,rust,737444,689,0,2184,0
3,9,python-numpy,90564261,76566,13921,29088,0
3,10,node,31755275,20756,10872,44024,0
3,11,go,1291770,0,1220,1784,0
4,0,java,57114447,41890,13963,37252,0
4,1,go,1276699,0,1199,1784,0
4,2,c-dynamic,734470,0,693,1784,0
4,3,rust,733594,0,691,2208,0
4,4,python-isolated,9526661,6314,3157,8372,0
4,5,c-static,446402,390,0,1784,0
4,6,python-no-site,8923909,5890,2945,8548,0
4,7,python-numpy,90468685,76268,14049,28948,0
4,8,python,16435956,11529,4803,10040,0
4,9,node,35030942,23950,10977,45124,0
4,10,node-jitless,28709980,23488,5106,41424,0
4,11,java-no-cds,78767219,55539,19835,30712,0
