label,repetitions,median,ci95_low,ci95_high,min,max,p10,p90
c-dynamic,50,0.729,0.691,0.764,0.467,1.533,0.624,0.853
c-static,50,0.583,0.563,0.609,0.363,0.918,0.453,0.656
rust,50,0.959,0.902,1.016,0.676,2.864,0.810,1.098
go,50,1.219,1.185,1.279,0.972,3.582,1.068,1.412
python,50,16.796,16.257,17.192,15.118,25.068,15.497,21.994
python-no-site,50,9.579,9.330,9.785,8.375,12.311,8.742,11.205
python-isolated,50,9.641,9.328,9.889,8.351,13.724,8.882,11.815
python-numpy,50,91.567,90.464,96.124,87.845,110.414,88.630,102.262
node,50,30.791,30.215,32.492,26.508,41.393,27.827,35.780
node-jitless,50,30.399,29.739,31.476,26.253,42.840,27.630,35.529
java,50,58.887,58.023,60.122,55.337,66.736,56.030,64.465
java-no-cds,50,75.760,74.677,78.391,71.473,87.577,72.650,82.804
