workload,mode,processes,steady_ns_per_element,R_to_c,R_ci95_low,R_ci95_high,rho0_median,rho0_min,rho0_max,E_ms_median,E_in_steady_steps
hash_chain,c,10,1.604,1.000,1.000,1.000,1.09,1.00,1.33,0.58,5.5
hash_chain,java,10,1.606,1.001,0.998,1.001,13.70,12.71,61.31,7.61,72.4
hash_chain,java-xint,10,18.219,11.356,11.318,11.406,1.00,0.98,1.08,5.71,4.8
hash_chain,java-2cpu,10,1.606,1.001,0.998,1.002,13.96,13.63,20.56,5.75,54.7
hash_chain,node,10,6.581,4.102,3.993,55.665,10.00,0.71,12.53,129.28,302.1
hash_chain,node-jitless,10,122.259,76.201,75.917,76.435,1.04,1.03,1.05,56.75,7.1
hash_chain,node-2cpu,10,6.166,3.843,3.737,55.397,10.62,0.71,25.56,138.08,347.1
hash_chain,python,10,129.280,80.577,80.386,80.751,1.00,0.98,1.04,54.94,6.5
hash_chain,python-jit,10,120.256,74.953,74.701,75.155,1.01,1.00,1.02,47.96,6.1
dot,c,10,0.805,1.000,1.000,1.000,1.05,1.00,3.26,0.51,9.6
dot,java,10,0.805,1.000,0.986,1.006,25.64,24.81,84.77,10.23,194.2
dot,java-xint,10,18.120,22.517,22.164,22.603,1.00,0.99,1.03,5.43,4.6
dot,java-2cpu,10,0.806,1.002,0.988,1.009,31.86,28.55,41.36,8.96,169.2
dot,node,10,0.919,1.142,1.118,2.269,28.30,12.55,33.81,6.36,98.3
dot,node-jitless,10,44.808,55.681,54.796,55.921,1.03,1.01,1.09,24.11,8.2
dot,node-2cpu,10,0.918,1.140,1.120,2.067,12.37,4.81,42.77,3.57,48.9
dot,python,10,43.856,54.498,53.675,54.695,1.00,0.98,1.07,24.32,8.5
dot,python-jit,10,40.414,50.221,49.459,50.379,1.03,0.99,1.23,22.46,8.5
