label,repetitions,median,ci95_low,ci95_high,min,max,p10,p90
c-dynamic,5,0.716,0.581,0.734,0.581,0.734,0.626,0.734
c-static,5,0.595,0.446,0.596,0.446,0.596,0.452,0.596
rust,5,0.862,0.734,0.925,0.734,0.925,0.735,0.918
go,5,1.263,1.124,1.292,1.124,1.292,1.124,1.286
python,5,16.080,15.816,17.288,15.816,17.288,15.829,16.947
python-no-site,5,9.632,8.324,11.504,8.324,11.504,8.564,10.876
python-isolated,5,9.527,8.460,9.634,8.460,9.634,8.760,9.633
python-numpy,5,90.469,88.110,93.082,88.110,93.082,88.321,92.075
node,5,31.755,30.897,35.031,30.897,35.031,30.958,33.933
node-jitless,5,33.175,28.710,35.420,28.710,35.420,29.896,34.587
java,5,57.972,56.497,61.864,56.497,61.864,56.744,60.430
java-no-cds,5,73.047,71.365,78.767,71.365,78.767,71.560,77.466
