workload,mode,processes,steady_ns_per_element,R_to_c,R_ci95_low,R_ci95_high,rho0_median,rho0_min,rho0_max,E_ms_median,E_in_steady_steps
hash_chain,c,1,1.608,1.000,1.000,1.000,1.01,1.01,1.01,0.04,0.4
hash_chain,java,1,1.604,0.997,0.997,0.997,34.01,34.01,34.01,18.01,171.3
hash_chain,java-xint,1,18.193,11.311,11.311,11.311,1.00,1.00,1.00,0.89,0.7
hash_chain,java-2cpu,1,1.607,0.999,0.999,0.999,15.12,15.12,15.12,5.40,51.2
hash_chain,node,1,23.564,14.651,14.651,14.651,2.76,2.76,2.76,4.01,2.6
hash_chain,node-jitless,1,121.086,75.285,75.285,75.285,1.03,1.03,1.03,3.72,0.5
hash_chain,node-2cpu,1,23.257,14.460,14.460,14.460,2.82,2.82,2.82,3.88,2.5
hash_chain,python,1,129.396,80.452,80.452,80.452,0.98,0.98,0.98,2.56,0.3
hash_chain,python-jit,1,120.716,75.055,75.055,75.055,1.01,1.01,1.01,4.55,0.6
dot,c,1,0.802,1.000,1.000,1.000,1.01,1.01,1.01,0.05,0.9
dot,java,1,0.803,1.001,1.001,1.001,26.08,26.08,26.08,3.12,59.3
dot,java-xint,1,18.172,22.648,22.648,22.648,0.99,0.99,0.99,0.62,0.5
dot,java-2cpu,1,0.853,1.063,1.063,1.063,38.30,38.30,38.30,10.45,186.9
dot,node,1,1.124,1.401,1.401,1.401,25.59,25.59,25.59,2.46,33.4
dot,node-jitless,1,44.384,55.317,55.317,55.317,1.04,1.04,1.04,1.95,0.7
dot,node-2cpu,1,1.069,1.332,1.332,1.332,12.03,12.03,12.03,0.96,13.7
dot,python,1,43.499,54.213,54.213,54.213,1.03,1.03,1.03,2.47,0.9
dot,python-jit,1,40.477,50.447,50.447,50.447,1.01,1.01,1.01,1.96,0.7
